,name,cd,gender,break_indices,end_time,series ,color,noisy
0,F1AS01P1,CD1,F1A,1,0.21,S01,76,0
1,F1AS01P1,CD1,F1A,1,0.47,S01,76,0
2,F1AS01P1,CD1,F1A,1,0.76,S01,76,0
3,F1AS01P1,CD1,F1A,4,1.35,S01,76,1
4,F1AS01P1,CD1,F1A,1,1.5,S01,76,0
5,F1AS01P1,CD1,F1A,1,1.82,S01,76,0
6,F1AS01P1,CD1,F1A,1,1.98,S01,76,0
7,F1AS01P1,CD1,F1A,4,2.48,S01,76,1
8,F1AS01P1,CD1,F1A,1,2.75,S01,76,0
9,F1AS01P1,CD1,F1A,3,3.17,S01,76,0
10,F1AS01P1,CD1,F1A,1,3.53,S01,76,0
11,F1AS01P1,CD1,F1A,1,4.28,S01,76,0
12,F1AS01P1,CD1,F1A,3,4.78,S01,76,0
13,F1AS01P1,CD1,F1A,1,4.92,S01,76,0
14,F1AS01P1,CD1,F1A,1,5.28,S01,76,0
15,F1AS01P1,CD1,F1A,3,5.62,S01,76,0
16,F1AS01P1,CD1,F1A,1,5.78,S01,76,0
17,F1AS01P1,CD1,F1A,1,6.38,S01,76,0
18,F1AS01P1,CD1,F1A,4,6.74,S01,76,0
19,F1AS01P1,CD1,F1A,1,7.47,S01,76,0
20,F1AS01P1,CD1,F1A,3,7.75,S01,76,0
21,F1AS01P1,CD1,F1A,1,7.83,S01,76,0
22,F1AS01P1,CD1,F1A,3,8.4,S01,76,0
23,F1AS01P1,CD1,F1A,1,8.52,S01,76,0
24,F1AS01P1,CD1,F1A,3,8.96,S01,76,0
25,F1AS01P1,CD1,F1A,1,9.04,S01,76,0
26,F1AS01P1,CD1,F1A,3,9.45,S01,76,0
27,F1AS01P1,CD1,F1A,1,9.57,S01,76,0
28,F1AS01P1,CD1,F1A,3,9.96,S01,76,0
29,F1AS01P1,CD1,F1A,1,10.17,S01,76,0
30,F1AS01P1,CD1,F1A,1,10.32,S01,76,0
31,F1AS01P1,CD1,F1A,1,10.67,S01,76,0
32,F1AS01P1,CD1,F1A,4,11.24,S01,76,0
33,F1AS01P1,CD1,F1A,1,11.38,S01,76,0
34,F1AS01P1,CD1,F1A,4,11.99,S01,76,0
35,F1AS01P1,CD1,F1A,1,12.52,S01,76,0
36,F1AS01P1,CD1,F1A,1,12.84,S01,76,0
37,F1AS01P1,CD1,F1A,4,13.19,S01,76,0
38,F1AS01P1,CD1,F1A,1,13.57,S01,76,0
39,F1AS01P1,CD1,F1A,1,13.7,S01,76,0
40,F1AS01P1,CD1,F1A,4,14.29,S01,76,0
41,F1AS01P1,CD1,F1A,1,14.63,S01,76,0
42,F1AS01P1,CD1,F1A,1,14.77,S01,76,0
43,F1AS01P1,CD1,F1A,3,15.15,S01,76,0
44,F1AS01P1,CD1,F1A,1,15.28,S01,76,0
45,F1AS01P1,CD1,F1A,1,15.35,S01,76,0
46,F1AS01P1,CD1,F1A,2,15.84,S01,76,1
47,F1AS01P1,CD1,F1A,4,16.35,S01,76,0
48,F1AS01P1,CD1,F1A,1,16.46,S01,76,0
49,F1AS01P1,CD1,F1A,1,16.52,S01,76,0
50,F1AS01P1,CD1,F1A,3,17.13,S01,76,1
51,F1AS01P1,CD1,F1A,1,17.4,S01,76,0
52,F1AS01P1,CD1,F1A,4,18.01,S01,76,0
53,F1AS01P1,CD1,F1A,1,18.61,S01,76,0
54,F1AS01P1,CD1,F1A,1,18.74,S01,76,0
55,F1AS01P1,CD1,F1A,1,18.9,S01,76,0
56,F1AS01P1,CD1,F1A,3,19.48,S01,76,0
57,F1AS01P1,CD1,F1A,1,19.98,S01,76,0
58,F1AS01P1,CD1,F1A,4,20.34,S01,76,0
59,F1AS01P1,CD1,F1A,1,20.61,S01,76,0
60,F1AS01P1,CD1,F1A,1,20.87,S01,76,0
61,F1AS01P1,CD1,F1A,1,21.19,S01,76,1
62,F1AS01P1,CD1,F1A,1,21.29,S01,76,1
63,F1AS01P1,CD1,F1A,1,21.53,S01,76,0
64,F1AS01P1,CD1,F1A,4,22.09,S01,76,0
65,F1AS01P1,CD1,F1A,1,22.23,S01,76,0
66,F1AS01P1,CD1,F1A,1,22.59,S01,76,0
67,F1AS01P1,CD1,F1A,4,23.08,S01,76,0
68,F1AS01P2,CD1,F1A,1,0.32,S01,76,0
69,F1AS01P2,CD1,F1A,4,0.87,S01,76,0
70,F1AS01P2,CD1,F1A,4,1.26,S01,76,0
71,F1AS01P2,CD1,F1A,1,1.39,S01,76,0
72,F1AS01P2,CD1,F1A,1,1.67,S01,76,0
73,F1AS01P2,CD1,F1A,1,1.76,S01,76,0
74,F1AS01P2,CD1,F1A,1,2.11,S01,76,0
75,F1AS01P2,CD1,F1A,1,2.23,S01,76,0
76,F1AS01P2,CD1,F1A,4,3.08,S01,76,0
77,F1AS01P2,CD1,F1A,1,3.15,S01,76,0
78,F1AS01P2,CD1,F1A,1,3.66,S01,76,0
79,F1AS01P2,CD1,F1A,1,4.03,S01,76,0
80,F1AS01P2,CD1,F1A,3,4.27,S01,76,0
81,F1AS01P2,CD1,F1A,1,4.38,S01,76,0
82,F1AS01P2,CD1,F1A,1,4.98,S01,76,0
83,F1AS01P2,CD1,F1A,4,5.54,S01,76,0
84,F1AS01P2,CD1,F1A,1,5.97,S01,76,0
85,F1AS01P2,CD1,F1A,1,6.26,S01,76,0
86,F1AS01P2,CD1,F1A,1,6.61,S01,76,0
87,F1AS01P2,CD1,F1A,3,7.07,S01,76,0
88,F1AS01P2,CD1,F1A,1,7.24,S01,76,0
89,F1AS01P2,CD1,F1A,3,7.7,S01,76,0
90,F1AS01P2,CD1,F1A,3,8.46,S01,76,0
91,F1AS01P2,CD1,F1A,1,8.7,S01,76,0
92,F1AS01P2,CD1,F1A,1,8.99,S01,76,0
93,F1AS01P2,CD1,F1A,1,9.33,S01,76,0
94,F1AS01P2,CD1,F1A,1,9.76,S01,76,0
95,F1AS01P2,CD1,F1A,4,10.21,S01,76,0
96,F1AS01P2,CD1,F1A,3,10.88,S01,76,1
97,F1AS01P2,CD1,F1A,1,11.06,S01,76,0
98,F1AS01P2,CD1,F1A,1,11.33,S01,76,0
99,F1AS01P2,CD1,F1A,1,11.57,S01,76,0
100,F1AS01P2,CD1,F1A,3,11.95,S01,76,0
101,F1AS01P2,CD1,F1A,1,12.12,S01,76,1
102,F1AS01P2,CD1,F1A,1,12.17,S01,76,1
103,F1AS01P2,CD1,F1A,1,12.72,S01,76,0
104,F1AS01P2,CD1,F1A,4,13.14,S01,76,0
105,F1AS01P2,CD1,F1A,1,13.46,S01,76,0
106,F1AS01P2,CD1,F1A,1,13.83,S01,76,0
107,F1AS01P2,CD1,F1A,1,14.16,S01,76,0
108,F1AS01P2,CD1,F1A,1,14.56,S01,76,0
109,F1AS01P2,CD1,F1A,1,14.97,S01,76,0
110,F1AS01P2,CD1,F1A,4,15.41,S01,76,0
111,F1AS01P2,CD1,F1A,1,15.99,S01,76,0
112,F1AS01P2,CD1,F1A,3,16.48,S01,76,0
113,F1AS01P2,CD1,F1A,1,16.93,S01,76,0
114,F1AS01P2,CD1,F1A,4,17.22,S01,76,0
115,F1AS01P2,CD1,F1A,1,17.41,S01,76,0
116,F1AS01P2,CD1,F1A,1,17.5,S01,76,0
117,F1AS01P2,CD1,F1A,1,17.78,S01,76,0
118,F1AS01P2,CD1,F1A,1,18.17,S01,76,0
119,F1AS01P2,CD1,F1A,4,18.65,S01,76,0
120,F1AS01P2,CD1,F1A,1,18.91,S01,76,1
121,F1AS01P2,CD1,F1A,1,19.01,S01,76,0
122,F1AS01P2,CD1,F1A,1,19.49,S01,76,0
123,F1AS01P2,CD1,F1A,4,20.05,S01,76,0
124,F1AS01P2,CD1,F1A,1,20.84,S01,76,0
125,F1AS01P2,CD1,F1A,1,21.3,S01,76,0
126,F1AS01P2,CD1,F1A,4,21.81,S01,76,0
127,F1AS01P3,CD1,F1A,1,0.09,S01,76,0
128,F1AS01P3,CD1,F1A,3,0.57,S01,76,0
129,F1AS01P3,CD1,F1A,4,0.95,S01,76,0
130,F1AS01P3,CD1,F1A,1,1.06,S01,76,0
131,F1AS01P3,CD1,F1A,1,1.19,S01,76,0
132,F1AS01P3,CD1,F1A,4,1.93,S01,76,0
133,F1AS01P3,CD1,F1A,1,2.53,S01,76,0
134,F1AS01P3,CD1,F1A,1,2.95,S01,76,0
135,F1AS01P3,CD1,F1A,1,3.38,S01,76,0
136,F1AS01P3,CD1,F1A,4,3.91,S01,76,0
137,F1AS01P3,CD1,F1A,1,4.11,S01,76,0
138,F1AS01P3,CD1,F1A,3,4.56,S01,76,0
139,F1AS01P3,CD1,F1A,1,4.78,S01,76,0
140,F1AS01P3,CD1,F1A,1,4.86,S01,76,0
141,F1AS01P3,CD1,F1A,1,5.18,S01,76,0
142,F1AS01P3,CD1,F1A,1,5.46,S01,76,0
143,F1AS01P3,CD1,F1A,1,5.77,S01,76,0
144,F1AS01P3,CD1,F1A,4,6.08,S01,76,0
145,F1AS01P3,CD1,F1A,1,6.81,S01,76,0
146,F1AS01P3,CD1,F1A,1,7.13,S01,76,0
147,F1AS01P3,CD1,F1A,1,7.63,S01,76,0
148,F1AS01P3,CD1,F1A,1,8.08,S01,76,0
149,F1AS01P3,CD1,F1A,4,8.67,S01,76,0
150,F1AS01P3,CD1,F1A,1,8.83,S01,76,0
151,F1AS01P3,CD1,F1A,1,8.99,S01,76,0
152,F1AS01P3,CD1,F1A,1,9.31,S01,76,0
153,F1AS01P3,CD1,F1A,3,9.61,S01,76,0
154,F1AS01P3,CD1,F1A,1,10.06,S01,76,0
155,F1AS01P3,CD1,F1A,4,10.66,S01,76,0
156,F1AS01P3,CD1,F1A,1,11.07,S01,76,0
157,F1AS01P3,CD1,F1A,1,11.51,S01,76,0
158,F1AS01P3,CD1,F1A,4,11.99,S01,76,0
159,F1AS01P3,CD1,F1A,1,12.24,S01,76,0
160,F1AS01P3,CD1,F1A,1,12.5,S01,76,0
161,F1AS01P3,CD1,F1A,1,12.75,S01,76,0
162,F1AS01P3,CD1,F1A,4,13.3,S01,76,0
163,F1AS01P3,CD1,F1A,1,13.71,S01,76,0
164,F1AS01P3,CD1,F1A,1,14.02,S01,76,0
165,F1AS01P3,CD1,F1A,3,14.24,S01,76,0
166,F1AS01P3,CD1,F1A,1,14.41,S01,76,0
167,F1AS01P3,CD1,F1A,1,14.65,S01,76,0
168,F1AS01P3,CD1,F1A,3,15.02,S01,76,0
170,F1AS01P3,CD1,F1A,4,15.68,S01,76,0
171,F1AS01P4,CD1,F1A,1,0.05,S01,76,0
172,F1AS01P4,CD1,F1A,2,0.49,S01,76,0
173,F1AS01P4,CD1,F1A,4,1.14,S01,76,0
174,F1AS01P4,CD1,F1A,1,1.4,S01,76,0
176,F1AS01P4,CD1,F1A,1,1.5,S01,76,0
177,F1AS01P4,CD1,F1A,1,1.87,S01,76,0
178,F1AS01P4,CD1,F1A,4,2.45,S01,76,0
179,F1AS01P4,CD1,F1A,1,2.82,S01,76,0
180,F1AS01P4,CD1,F1A,1,2.96,S01,76,0
181,F1AS01P4,CD1,F1A,4,3.48,S01,76,0
182,F1AS01P4,CD1,F1A,1,3.85,S01,76,0
183,F1AS01P4,CD1,F1A,1,4.24,S01,76,0
184,F1AS01P4,CD1,F1A,1,4.33,S01,76,0
185,F1AS01P4,CD1,F1A,4,4.75,S01,76,0
186,F1AS01P4,CD1,F1A,1,5.2,S01,76,0
187,F1AS01P4,CD1,F1A,3,5.4,S01,76,0
188,F1AS01P4,CD1,F1A,1,5.51,S01,76,0
189,F1AS01P4,CD1,F1A,0,5.8,S01,76,0
190,F1AS01P4,CD1,F1A,1,5.85,S01,76,1
191,F1AS01P4,CD1,F1A,3,6.41,S01,76,0
192,F1AS01P4,CD1,F1A,1,6.79,S01,76,0
193,F1AS01P4,CD1,F1A,1,6.92,S01,76,0
194,F1AS01P4,CD1,F1A,1,6.97,S01,76,0
195,F1AS01P4,CD1,F1A,1,7.27,S01,76,0
196,F1AS01P4,CD1,F1A,4,7.67,S01,76,0
197,F1AS01P4,CD1,F1A,1,8.08,S01,76,0
198,F1AS01P4,CD1,F1A,1,8.46,S01,76,0
199,F1AS01P4,CD1,F1A,1,8.58,S01,76,0
200,F1AS01P4,CD1,F1A,1,8.87,S01,76,0
201,F1AS01P4,CD1,F1A,3,9.22,S01,76,0
202,F1AS01P4,CD1,F1A,4,9.64,S01,76,0
203,F1AS01P4,CD1,F1A,1,9.73,S01,76,0
204,F1AS01P4,CD1,F1A,1,9.96,S01,76,0
205,F1AS01P4,CD1,F1A,1,10.13,S01,76,0
206,F1AS01P4,CD1,F1A,1,10.28,S01,76,0
207,F1AS01P4,CD1,F1A,1,10.6,S01,76,0
208,F1AS01P4,CD1,F1A,4,11.19,S01,76,0
209,F1AS01P4,CD1,F1A,1,11.43,S01,76,0
210,F1AS01P4,CD1,F1A,1,11.77,S01,76,0
211,F1AS01P4,CD1,F1A,3,11.95,S01,76,0
212,F1AS01P4,CD1,F1A,1,12.01,S01,76,0
213,F1AS01P4,CD1,F1A,1,12.19,S01,76,0
214,F1AS01P4,CD1,F1A,1,12.46,S01,76,0
215,F1AS01P4,CD1,F1A,1,12.66,S01,76,0
216,F1AS01P4,CD1,F1A,4,13.09,S01,76,0
217,F1AS01P4,CD1,F1A,0,13.36,S01,76,0
218,F1AS01P4,CD1,F1A,1,13.43,S01,76,0
219,F1AS01P4,CD1,F1A,4,13.74,S01,76,1
220,F1AS01P4,CD1,F1A,1,13.81,S01,76,0
221,F1AS01P4,CD1,F1A,1,14.3,S01,76,0
222,F1AS01P4,CD1,F1A,4,14.9,S01,76,0
223,F1AS02P1,CD1,F1A,1,0.24,S02,76,0
224,F1AS02P1,CD1,F1A,1,0.3,S02,76,0
225,F1AS02P1,CD1,F1A,1,0.5,S02,76,0
226,F1AS02P1,CD1,F1A,1,0.59,S02,76,0
227,F1AS02P1,CD1,F1A,1,0.75,S02,76,0
228,F1AS02P1,CD1,F1A,1,0.89,S02,76,0
229,F1AS02P1,CD1,F1A,3,1.39,S02,76,0
230,F1AS02P1,CD1,F1A,1,1.49,S02,76,0
231,F1AS02P1,CD1,F1A,1,1.95,S02,76,0
232,F1AS02P1,CD1,F1A,1,2.14,S02,76,0
233,F1AS02P1,CD1,F1A,1,2.22,S02,76,0
234,F1AS02P1,CD1,F1A,1,2.43,S02,76,0
235,F1AS02P1,CD1,F1A,4,2.97,S02,76,0
236,F1AS02P2,CD1,F1A,1,0.71,S02,76,0
237,F1AS02P2,CD1,F1A,1,1.08,S02,76,0
238,F1AS02P2,CD1,F1A,3,1.45,S02,76,0
239,F1AS02P2,CD1,F1A,1,1.8,S02,76,0
240,F1AS02P2,CD1,F1A,3,2.32,S02,76,0
241,F1AS02P2,CD1,F1A,3,2.74,S02,76,1
242,F1AS02P2,CD1,F1A,1,3.46,S02,76,0
243,F1AS02P2,CD1,F1A,4,4.01,S02,76,0
244,F1AS02P2,CD1,F1A,1,4.57,S02,76,0
245,F1AS02P2,CD1,F1A,1,4.61,S02,76,0
246,F1AS02P2,CD1,F1A,1,5.0,S02,76,0
247,F1AS02P2,CD1,F1A,1,5.32,S02,76,0
248,F1AS02P2,CD1,F1A,1,5.57,S02,76,0
249,F1AS02P2,CD1,F1A,1,5.82,S02,76,0
250,F1AS02P2,CD1,F1A,4,6.51,S02,76,0
251,F1AS02P2,CD1,F1A,1,6.96,S02,76,0
252,F1AS02P2,CD1,F1A,1,7.31,S02,76,0
253,F1AS02P2,CD1,F1A,3,7.86,S02,76,0
254,F1AS02P2,CD1,F1A,3,8.38,S02,76,0
255,F1AS02P2,CD1,F1A,1,8.46,S02,76,0
256,F1AS02P2,CD1,F1A,1,8.52,S02,76,0
257,F1AS02P2,CD1,F1A,1,9.19,S02,76,0
258,F1AS02P2,CD1,F1A,1,9.61,S02,76,0
259,F1AS02P2,CD1,F1A,1,10.01,S02,76,0
260,F1AS02P2,CD1,F1A,1,10.38,S02,76,0
261,F1AS02P2,CD1,F1A,4,10.76,S02,76,0
262,F1AS02P2,CD1,F1A,3,11.3,S02,76,1
263,F1AS02P2,CD1,F1A,1,11.42,S02,76,0
264,F1AS02P2,CD1,F1A,1,11.98,S02,76,0
265,F1AS02P2,CD1,F1A,3,12.5,S02,76,0
266,F1AS02P2,CD1,F1A,1,12.58,S02,76,0
267,F1AS02P2,CD1,F1A,1,12.63,S02,76,0
268,F1AS02P2,CD1,F1A,1,12.97,S02,76,0
269,F1AS02P2,CD1,F1A,1,13.55,S02,76,0
270,F1AS02P2,CD1,F1A,4,14.36,S02,76,0
271,F1AS02P2,CD1,F1A,1,14.74,S02,76,0
272,F1AS02P2,CD1,F1A,1,15.25,S02,76,0
273,F1AS02P2,CD1,F1A,4,15.83,S02,76,0
274,F1AS02P2,CD1,F1A,1,16.57,S02,76,0
275,F1AS02P2,CD1,F1A,1,16.64,S02,76,0
276,F1AS02P2,CD1,F1A,1,16.9,S02,76,0
277,F1AS02P2,CD1,F1A,4,17.47,S02,76,0
278,F1AS02P2,CD1,F1A,1,17.87,S02,76,0
279,F1AS02P2,CD1,F1A,1,18.01,S02,76,0
280,F1AS02P2,CD1,F1A,4,18.67,S02,76,0
281,F1AS02P2,CD1,F1A,1,18.9,S02,76,0
282,F1AS02P2,CD1,F1A,1,19.46,S02,76,0
283,F1AS02P2,CD1,F1A,1,19.56,S02,76,0
284,F1AS02P2,CD1,F1A,4,20.04,S02,76,0
285,F1AS02P3,CD1,F1A,3,0.22,S02,76,0
286,F1AS02P3,CD1,F1A,1,0.34,S02,76,0
287,F1AS02P3,CD1,F1A,3,0.91,S02,76,1
288,F1AS02P3,CD1,F1A,1,1.39,S02,76,0
289,F1AS02P3,CD1,F1A,4,1.91,S02,76,0
290,F1AS02P3,CD1,F1A,1,2.05,S02,76,0
291,F1AS02P3,CD1,F1A,1,2.13,S02,76,0
292,F1AS02P3,CD1,F1A,1,2.78,S02,76,0
293,F1AS02P3,CD1,F1A,1,3.25,S02,76,0
294,F1AS02P3,CD1,F1A,1,3.63,S02,76,0
295,F1AS02P3,CD1,F1A,4,4.43,S02,76,0
296,F1AS02P3,CD1,F1A,3,4.87,S02,76,0
297,F1AS02P3,CD1,F1A,1,5.0,S02,76,0
298,F1AS02P3,CD1,F1A,1,5.36,S02,76,0
